1358,"VA Form 1358, Estimated Miscellaneous Obligation or Change in Obligation"
2138,"VA Form 90-2138, Order for Supplies or Services (first page of a VA Purchase Order)"
2139,"VA Form 90-2139, Order for Supplies or Services (Continuation) (continuation sheet for Form 90-2138)"
2237,"VA Form 2237, used to request goods and services.
VA Form 90-2237, Request, Turn-in and Receipt for Property or Services (used to request goods and services)"
3PB,"Third Party Billing package
The 3PB package is designed to automate the creation of a claim using existing RPMS data, allow for editing, print a bill, and track payment activity. (ABM - namespace.)"
A&MM,Acquisition and Materiel Management
AAA,"(Veteran Health Administration) Authentication, Authorization and Accountability Standards"
AAC (renamed to CFD),"The Austin Automation Center
has been renamed the Austin Corporate Franchise Datacenter (CFD). AAC is a corporate data center for VA. The central repository for National Patient Care Database is maintained at the AAC."
AACS,"Automated Allotment Control System
Central computer system developed by VHA to disburse funding from VACO to field stations."
AAIP,Authentication and Authorization Infrastructure Program
AAIS,automated anesthesia information system
abbreviated response,This feature allows you to enter data by typing only the first few characters for the desired response. This feature will not work unless the information is already stored in the computer.
access code,"A code that, along with the Verify code, allows the computer to identify you as a user authorized to gain access to the computer. Your code is greater than 6 and less than 20 characters long; can be numeric, alphabetic, or a combination of both; and is usually assigned by a site manager or application coordinator. It is used by the Kernel's Sign-on/Security system to identify the user (see Verify Code)."
ACC,"Accounting Classification Code
Nine-character codes used for budget purposes. The FMS ACC’s replace CALM Fund Control Points."
ACR,"Index for Radiological Diagnosis
medical standards"
active patients,Patients who have been seen at a site within the past three years.
Activity Code,The last two digits of the AACS number. Each station defines it.
ADC,Average Daily Census
ADCP,"Ambulatory Data Capture Project
ADCP was formed to coordinate the various VISTA packages involved in meeting this mandate. AICS Automated Information Collection System, formerly Integrated Billing, the program that makes Encounter Forms."
ADPAC,"Automated Data Processing (ADP) Application Coordinator, Application Coordinator
Designated individuals responsible for user-level management and maintenance of a software application (e.g., Laboratory). Also abbreviated as ADPAC (ADP Application Coordinator)."
ADR,The Administrative Data Repository is a centralized database repository for person (PATIENT #2 and NEW PERSON #200 files).
Administrative Code Sets,Code sets that characterize a general business situation rather than a medical condition or service.
A/S,"Administrative Simplification
Title II, Subtitle F, of HIPAA, which gives the Department Of Health And Human Services (DHHS) the authority to mandate the use of standards for the electronic exchange of health care data; to specify what medical and administrative code sets should be used within those standards; to require the use of national identification systems for health care patients, providers, payers (or plans), and employers (or sponsors); and to specify the types of measures required to protect the security and privacy of personally identifiable health care information."
ADT,"Admission, Discharge, Transfer
The ADT module of the PIMS package provides a comprehensive range of software dedicated to the support of administrative functions related to patient admission, discharge, transfer, and registration. The functions of this package apply throughout a patient's inpatient and/or outpatient stay, from registration, eligibility determination and Means Testing through discharge with on-line transmission of Patient Treatment File (PTF) data to the Austin Automation Center. The ADT software also aids in recovery of cost of care by supplying comprehensive PTF/RUGII and Means Test software.
With V. 2.2 of Order Entry/Results Reporting, OE/RR notifications for ADT may bedisplayed for admissions, death discharges, deaths, and unscheduled (1010) visits."
ADT/HL7 pivot file,"Changes to any of the fields of patient information will be recorded and an entry created in the ADT/HL7 PIVOT file (#391.71). When an update to a patient’s treating facility occurs, this event is to be added to the ADT/HL7 PIVOT file (#391.71) and marked for transmission. A background job will collect these updates and broadcast the appropriate HL7 message (ADT-A08 Patient Update)."
AE,Application Entity
AEMS/MERS,"The Engineering package, otherwise known as Automated Engineering Management System /Medical Equipment Reporting System (AEMS/MERS) was released on a national basis in 1985. It is the outgrowth of work that was begun at the Washington VA Medical Center in the late 1970s.
In September of 1988, Engineering Service and the Office of Acquisition and Materiel Management (A&MM) jointly decided that the Engineering Equipment file should become a shared resource. This version of Engineering includes all data elements required for establishing and maintaining Integrated Supply Management System (ISMS) nonexpendable equipment records.
Name of the computer system located at each medical center to support Consolidated Memorandum of Receipts."
AFC,Austin Finance Center
AIB,"AIB – Area Record Consolidation
The Area Data Consolidation System is designed to consolidate and merge data sent to the NPIRS. The facilities send the unprocessed data to the Area Office where it is processed and sent on to NPIRS to be merged and consolidated. Its target audience is the Area Office ISC.
The Area Data Consolidation System (AIB) system allows the Area Office to process data sent from the facilities on a monthly basis. That data is then processed and sent to the National Patient Information Reporting System (national data repository) (NPIRS) in Albuquerque, New Mexico."
AICS (IBD),"Automated Information Collection System
The AICS package contains all the software necessary to design, edit, and assign encounter forms to clinics; print forms for appointments with patient data; and print with or without patient data for patients without an appointment. The software enables collection of outpatient clinical and administrative data; and provides a more organized, less obtrusive method of data collection to the clinician and supporting clerical staff. AICS is a hybrid system designed to use commercial software for the scanning and image processing of forms.
Automated Information Collection System, formerly called Integrated Billing; software developed at Albany IRMFO, supported by MCCR, producing scannable Encounter Forms."
AI/RHEUM,"Disease/Findings Knowledge Base
a structured knowledge base formal criteria for 26 rheumatologic diseases. The system has been retrospectively tested against 384 clinical cases."
ALD Code,"Appropriation Limitation Department. A set of Fiscal codes, which identifies the appropriation, used for funding."
alerts,"Brief online notices that are issued to users as they complete a cycle through the menu system. Alerts are designed to provide interactive notification of pending computing activities, such as the need to reorder supplies or review a patient’s clinical test results. Along with the alert message is an indication that the View Alerts common option should be chosen to take further action."
ALOS,Average Length of Stay
AMIE (DVBA),"Automated Medical Information Exchange
The AMIE software automates the administrative procedures involved in sending medical information used in determining veteran benefit payments from the VA medical centers to the VA regional offices.
The AMIE package is composed of two separate modules; 7131/7132 and 2507 Compensation and Pension. Each of these sections provides requesting, tracking, and reporting functions for the various requests entered.
The AMIE module facilitates the electronic interchange of veteran information between VBA Regional Offices (ROs) and VA medical facilities. The comprehensive module provides an accurate audit trail to track most requests for information. The module is composed of two components: Facility administrative options and VBA Regional Office options. Each area has individual items to maintain daily, and its own reports to print. RO staff access VA medical facility computers through VA national telecommunications network, and exercise their options on each local medical facility’s system as necessary. [Monograph]"
AMIS,Automated Management Information System
ancillary reviewer,"This can be a single person or group of people given the responsibility to conduct reviews of potential duplicate record pairs with data in files other than the PATIENT file (#2). For example, selected personnel in Laboratory, Radiology, and Pharmacy."
Ancillary Service/Occasion of Service,"A specified instance of an act of service involved in the care of a patient or consumer which is not an encounter. These occasions of service may be the result of an encounter; for example, tests or procedures ordered as part of an encounter. A patient may have multiple occasions of service per encounter or per visit."
ANR,Automated Notification Report
ANSI MUMPS,The MUMPS programming language is a standard recognized by the American National Standard Institute (ANSI). MUMPS stands for Massachusetts Utility Multi-programming System and is abbreviated as M.
API,Application Program Interface
application,A system of computer programs and files that have been specifically developed to meet the requirements of a user or group of users. Examples of VistA applications are the PIMS and Vitals/Measurements application.
application coordinator,"Designated individuals responsible for user-level management and maintenance of an application package such as IFCAP, Lab, Pharmacy, Mental Health, etc."
Application Data,"From a CCOW perspective, this is the patient record that is open in the active application. When joining a clinical context, select Use Application Data to force all open CCOW-compliant applications to switch to the patient that is open in the active application."
AR,Accounts Receivable
ART (GMRA),CPRS: Adverse Reaction Tracking
AR/WS (PSGW),Automatic Replenishment/Ward Stock
ASA Class,This is the American Society of Anesthesiologists classification relating to the patient’s physiologic status. Numbers followed by an 'E' indicate an emergency.
ASCD,Automated Service Connected Designation
ASISTS,Automated Safety Incident Surveillance Tracking System
ASU (USR),"Authorization/Subscription Utility
an application that allows sites to associate users with user classes, allowing them to specify the level of authorization needed to sign or order specific document types and orderables. ASU is distributed with TIU in this version; eventually it will probably become independent, to be used by many VISTA packages."
attending code,Code that corresponds to the highest level of supervision provided by the attending staff surgeon during the procedure.
attending physician,Supervising physician who is responsible for the care of the patient.
audit trail,"A history of the changes made to a record including old data, new data, and the name of the user who made the change."
Auto Instrument Interface,Method of transferring information gathered using a medical device to the DHCP database.
auto-update,"The term ""auto-update"" refers to fields that are updated from a central database (i.e., the Master Patient Index)."
back door,"System access via the roll and scroll, character and Mumps based VistA application."
batch type,"The batch type is set in which the code sheet definitions are grouped. For example, the code sheets for Medicine are all grouped under the batch type ‘MEDICINE’. Security prevents unauthorized users from accessing code sheets outside of their selectable batch type."
batching,Batching is the method for grouping a set of code sheets into a set. The group of code sheets can then be transmitted within the same message. Batching is usually done by ‘batch type’ (service) or by ‘system identifier’ (AMIS).
batch acknowledgements,"The format of a HL7 batch acknowledgement message consists entirely of a group of ACK (acknowledgment) messages. In the case of MPI, batch acknowledgements are returned during the initialization process and during the Local/Missing ICN Resolution job. The background job files the ICN, ICN checksum and CMOR, updates the MPI, and then the associated treating facilities and systems. Data returned from this process constitute the acknowledgment of the batch message."
batch messages,"There are instances when it is convenient to transfer a batch of HL7 messages. Common examples related to MPI are queries sent to the MPI for an ICN during the initialization process and the resolution of Local or Missing ICNs,. Such a batch could be sent online using a common file transfer protocol. In the case of the MPI, the HL7 Batch Protocol uses the Batch Header Segment (BHS) and Batch Trailer Segment (BTS) message segments to delineate the batch."
batch number,A unique number assigned by the computer to identify a batch (group) of Code Sheets. Code Sheets may be transmitted by Batch Number or Transmission Number.
"batch protocol, HL7","Protocol utilized to transmit a batch of HL7 messages. The protocol generally uses File Header Segment (FHS), BHS, BTS, and File Trailer Segment (FTS) segments to delineate the batch. In the case of the MPI, the protocol only uses the BHS and BTS segments."
BCMA,"Bar Code Medication Administration. A VistA software application that validates medications against active orders before the medication is given to the patient.
BCMA is a bedside application that validates the administration of medications. It was installed nationwide in the 1999/2000 timeframe. BCMA enables nursing to use a bedside computerized medication administration record (MAR) implemented via wireless laptop computers and hand-held scanners. Patient identification wristbands and nursing staff identification cards are bar-coded with unique identifying numbers. Medications are packaged in plastic containers with bar-coded content identifiers and placed on the medication carts by the pharmacy service. To administer a medication, the nurse scans the patient's wristband, the packaged medication, and the employee id card. The data are sent to an electronic MAR. Advantages include positive verification of patient identification and prescribed medication at the point of care, an immediate alerting capability to prevent the wrong medication from being administered, precise medication administration documentation noting on time, early and late dosing, and automated missing dose requisition."
BHIE,Bidirectional Health Information Exchange
BIRLS,"Beneficiary Information and Records Locator Subsystem
VBA IBBA"
blockout graph,Graph showing the availability of operating rooms.
BMA,bone marrow aspirates
BMB,bone marrow biopsies.
BOC,"Budget Object Code
Four-digit number used to identify purchases. The FMS BOC’s are equivalent to CALM subaccounts.
Fiscal accounting element that tells what kind of item or service is being procured. Budget object codes are listed in VA Handbook 4671.2"
Boilerplate Text,"A pre-defined TIU template that can be filled in for Titles, speeding up the entry process. TIU exports several Titles with boilerplate text which can be modified to meet specific needs; sites can also create their own."
BP,"Background Processor
The VistA Imaging System is an extension to the VistA. The VistA Imaging Background Processor (BP) runs on a dedicated Windows Workstation (WS) connected to VistA by way of a TCP/IP connection using the VistA Remote Procedure Call (RPC) Broker. The Background Processor provides the following functions:
- Management of image storage on various shared network devices.
- Migration of image files between magnetic VistA Imaging Shares and jukebox storage units.
- Maintenance of adequate free storage space on magnetic storage devices.
- Copying of image files to the VistA Imaging Shares whenever they are requested by image display workstations.
- Validations of VistA Imaging network file references.
- Configuration of the local VistA Imaging site parameters.
- Error recovery.
- Activity and error logging.
- Importing Images into VistA.
- Exporting Images from VistA."
BPWS,Background Processor Workstation.
BRC,"Blind Rehabilitation Center
A residential inpatient program that provides comprehensive adjustment to blindness training and serves as a resource to a catchments area usually comprised of multiple Veterans Integrated Service Networks (VISN)."
Breakout Code,"A set of A&MM codes which identifies a vendor by the type of ownership (e.g., Minority-owned, Vietnam Veteran Owned, Small Business Total Set Aside, etc.)."
BROS,"Blind Rehabilitation Outpatient Specialist
Blind Rehabilitation instructors possessing advanced technical knowledge and competencies in at least two Blind Rehabilitation disciplines at the journeyman level."
BRP,Blind Rehabilitation Project
BRC Application Letter,This is a cover letter for a Blind Rehabilitation Center (BRC) Application packet. This letter requires editing and is used to print for individual veterans.
BRC Follow-up Letter,This is a questionnaire sent to the veteran following blind rehabilitation training. It is used to assist the center or clinic in following-up on the veteran.
breakeven day,A day on which the actual cost of care equals the estimate.
BSE,"Broker Security Enhancement
has been added to VistAWeb. BSE provides for improved security in site authentication. It is transparent to the user. The"
