Acronym,Concept,Definition
SCU,Spacecraft Control Unit ,
CCSDS,Consultative Committee for Space Data Systems,
msecs,Microseconds,
1553,MIL-STD-1553B,
1PPS,One Pulse Per Second,
ADIO,Analog/Discrete I/O,
Aka,Also Known As,
API,Application Programming Interface,
BIT,Built-In Test,
C&DH,Command and Data Handling System,
CCD,Charge Coupled Device,
CCM,Command and Control Module CSC,
CCSDS,Consultative Committee for Space Data Systems,
CIDP,Central Instrument Data Processor,
COTS,Commercial Off-The-Shelf,
CPU,Central Processing Unit,
CSC,Computer Software Component,
CSCI,Computer Software Configuration Item,
DCI,Data Capture Interface,
DCX,Data Compression CSC,
DPA,Data Processing Algorithm CSC,
DPU,Data Processing Unit,
DRAM,Dynamic Random Access Memory,
EDAC,Error Detection And Correction,
EEFS,EEPROM File System,
EEPROM,Electrically Erasable Programmable Read-Only Memory,
FC,Finding Chart,
FSW,Flight Software,
GRD,Gamma Ray Detector,
GSE,Ground Support Equipment,
GSFC,Goddard Space Flight Center,
GSW,Ground Software,
HK,Housekeeping,
I/O,Input/Output,
ICD,Interface Control Document,
ICU,Instrument Control Unit,
ICUI,ICU Interface CSC,
IMAGE,Imager for Magnetopause-to-Aurora Global Exploration,
ITOS,Integrated Test and Operations System,
Kb,Kilo-bits,
KB,Kilo-bytes,
MB,Mega-bytes,
MET,Mission Elapsed Time,
MOC,Mission Operations Center,
MS-DOS,Microsoft Disk Operating System,
msec,Millisecond,
PROM,Programmable Read-Only Memory,
RSC,Rios Single Chip,
RT,Remote Terminal; (1553 term for a science instrument on the 1553 bus),
CompanyXCM,Company X Communications/Memory Module,
SCU,Spacecraft Control Unit,
SCUI,SCU Interface CSC,
SDAT,Science Data Analysis Terminal,
SDP,Software Development Plan,
SED,Software Engineering Department,
SRS,Software Requirements Specification,
SSFF,Space Station Furnace Facility,
SSI,Synchronous Serial Interface,
SSP,Standard Software Process,
SVP,Software Verification Procedures,
Company X,Company X,
TBD,To Be Determined,
TBR,To Be Reviewed,
TDRSS,Tracking and Data Relay Satellite System,
TMALI,Telescope Module Access Library Interface CSC,
XMM-OM,X-Ray Multi-Mirror-Optical Monitor,
